username,domain,name,slug,is_primary
sithubo_pt,newsmast.social,Activism & Civil Rights,activism_civil_rights,false
sithubo_pt,newsmast.social,Biodiversity & Rewilding,biodiversity_rewilding,false
sithubo_pt,newsmast.social,Black Voices,black_voices,false
sithubo_pt,newsmast.social,Climate change,climate_change,false
sithubo_pt,newsmast.social,Democracy & Human Rights,democracy_human_rights,false
sithubo_pt,newsmast.social,Disabled Voices,disabled_voices,false
sithubo_pt,newsmast.social,Energy & Pollution,energy_pollution,false
sithubo_pt,newsmast.social,Environment,environment,false
sithubo_pt,newsmast.social,Government & Policy,government_policy,false
sithubo_pt,newsmast.social,Healthcare,healthcare,false
sithubo_pt,newsmast.social,"Hunger, Disease & Water",hunger_disease_water,false
sithubo_pt,newsmast.social,Immigrants Rights,immigrants_rights,false
sithubo_pt,newsmast.social,Indigenous Peoples,indigenous_peoples,false
markr,newsmast.social,AI,ai,false
markr,newsmast.social,Architecture & Design,architecture_design,false
markr,newsmast.social,Biodiversity & Rewilding,biodiversity_rewilding,false
markr,newsmast.social,Biology,biology,false
markr,newsmast.social,Books & Literature,books_literature,false
markr,newsmast.social,Chemistry,chemistry,false
markr,newsmast.social,Climate change,climate_change,false
markr,newsmast.social,Democracy & Human Rights,democracy_human_rights,false
markr,newsmast.social,Energy & Pollution,energy_pollution,false
markr,newsmast.social,Engineering,engineering,false
markr,newsmast.social,Environment,environment,false
markr,newsmast.social,Gaming,gaming,false
markr,newsmast.social,History,history,false
markr,newsmast.social,Humanities,humanities,false
markr,newsmast.social,"Hunger, Disease & Water",hunger_disease_water,false
markr,newsmast.social,Mathematics,mathematics,false
markr,newsmast.social,Movies,movies,false
markr,newsmast.social,Music,music,false
markr,newsmast.social,Journalism & Comment,news_comment_data,false
markr,newsmast.social,Performing Arts,performing_arts,false
markr,newsmast.social,Philosophy,philosophy,false
markr,newsmast.social,Photography,photography,false
markr,newsmast.social,Physics,physics,false
markr,newsmast.social,Poverty & Inequality,poverty_inequality,false
markr,newsmast.social,Programming,programming,false
markr,newsmast.social,Science,science,false
markr,newsmast.social,Social Sciences,social_sciences,false
markr,newsmast.social,Space,space,false
markr,newsmast.social,Technology,technology,false
markr,newsmast.social,TV & Radio,tv_radio,false
markr,newsmast.social,Visual Arts,visual_arts,false
markr,newsmast.social,Breaking News,breaking_news,true
mjgardner,social.sdf.org,Gaming,gaming,false
mjgardner,social.sdf.org,Music,music,false
mjgardner,social.sdf.org,Space,space,false
mjgardner,social.sdf.org,Technology,technology,false
mjgardner,social.sdf.org,Programming,programming,true
trygvekalland,snabelen.no,Democracy & Human Rights,democracy_human_rights,false
trygvekalland,snabelen.no,Politics,politics,false
trygvekalland,snabelen.no,Science,science,false
trygvekalland,snabelen.no,Technology,technology,false
trygvekalland,snabelen.no,Ukraine Invasion,ukraine_invasion,false
trygvekalland,snabelen.no,Breaking News,breaking_news,true
sydney_aokay,mastodon.social,Democracy & Human Rights,democracy_human_rights,false
sydney_aokay,mastodon.social,Disabled Voices,disabled_voices,false
Xaq,mastodon.sdf.org,Journalism & Comment,news_comment_data,false
Xaq,mastodon.sdf.org,Physics,physics,false
Xaq,mastodon.sdf.org,Science,science,false
Xaq,mastodon.sdf.org,Ukraine Invasion,ukraine_invasion,false
Xaq,mastodon.sdf.org,Space,space,true
Jason381,mastodon.social,Government & Policy,government_policy,false
Jason381,mastodon.social,Science,science,false
Jason381,mastodon.social,Social Media,social_media,false
Jason381,mastodon.social,Technology,technology,false
Jason381,mastodon.social,Breaking News,breaking_news,true
yvz,mstdn.social,Poverty & Inequality,poverty_inequality,false
yvz,mstdn.social,Programming,programming,false
yvz,mstdn.social,Science,science,false
yvz,mstdn.social,Social Media,social_media,false
yvz,mstdn.social,Space,space,false
yvz,mstdn.social,Ukraine Invasion,ukraine_invasion,false
yvz,mstdn.social,US Politics,us_politics,false
yvz,mstdn.social,Weather,weather,false
Jimellisuk,mstdn.social,Academia & Research,academia_research,false
Jimellisuk,mstdn.social,Activism & Civil Rights,activism_civil_rights,false
Jimellisuk,mstdn.social,AI,ai,false
Jimellisuk,mstdn.social,Architecture & Design,architecture_design,false
Jimellisuk,mstdn.social,Biodiversity & Rewilding,biodiversity_rewilding,false
Jimellisuk,mstdn.social,Biology,biology,false
Jimellisuk,mstdn.social,Books & Literature,books_literature,false
Jimellisuk,mstdn.social,Chemistry,chemistry,false
Jimellisuk,mstdn.social,Climate change,climate_change,false
Jimellisuk,mstdn.social,Democracy & Human Rights,democracy_human_rights,false
Jimellisuk,mstdn.social,Energy & Pollution,energy_pollution,false
Jimellisuk,mstdn.social,Engineering,engineering,false
Jimellisuk,mstdn.social,Environment,environment,false
Jimellisuk,mstdn.social,Gaming,gaming,false
Jimellisuk,mstdn.social,Government & Policy,government_policy,false
Jimellisuk,mstdn.social,Healthcare,healthcare,false
Jimellisuk,mstdn.social,History,history,false
Jimellisuk,mstdn.social,Humanities,humanities,false
Jimellisuk,mstdn.social,"Hunger, Disease & Water",hunger_disease_water,false
Jimellisuk,mstdn.social,Law & Justice,law_justice,false
Jimellisuk,mstdn.social,Mathematics,mathematics,false
Jimellisuk,mstdn.social,Movies,movies,false
Jimellisuk,mstdn.social,Music,music,false
Jimellisuk,mstdn.social,Journalism & Comment,news_comment_data,false
Jimellisuk,mstdn.social,Performing Arts,performing_arts,false
Jimellisuk,mstdn.social,Philosophy,philosophy,false
Jimellisuk,mstdn.social,Photography,photography,false
Jimellisuk,mstdn.social,Physics,physics,false
Jimellisuk,mstdn.social,Politics,politics,false
Jimellisuk,mstdn.social,Poverty & Inequality,poverty_inequality,false
Jimellisuk,mstdn.social,Programming,programming,false
Jimellisuk,mstdn.social,Science,science,false
Jimellisuk,mstdn.social,Breaking News,breaking_news,true
yvz,mstdn.social,Technology,technology,true
csolisr,hub.azkware.net,Biodiversity & Rewilding,biodiversity_rewilding,false
csolisr,hub.azkware.net,Biology,biology,false
csolisr,hub.azkware.net,Chemistry,chemistry,false
csolisr,hub.azkware.net,Engineering,engineering,false
csolisr,hub.azkware.net,Environment,environment,false
csolisr,hub.azkware.net,History,history,false
csolisr,hub.azkware.net,Humanities,humanities,false
csolisr,hub.azkware.net,Mathematics,mathematics,false
csolisr,hub.azkware.net,Philosophy,philosophy,false
csolisr,hub.azkware.net,Physics,physics,false
csolisr,hub.azkware.net,Programming,programming,false
csolisr,hub.azkware.net,Science,science,false
csolisr,hub.azkware.net,Social Sciences,social_sciences,false
csolisr,hub.azkware.net,Space,space,false
csolisr,hub.azkware.net,Technology,technology,false
csolisr,hub.azkware.net,Breaking News,breaking_news,true
