#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
birdsite.skye.cx,suspend,false,false,Oliphant Tier 3,false
birdsite.slashdev.space,suspend,false,false,Oliphant Tier 3,false
birdsite.spectreos.de,suspend,false,false,Oliphant Tier 3,false
birdsite.tcjc.uk,suspend,false,false,Oliphant Tier 3,false
birdsite.thorlaksson.com,suspend,false,false,Oliphant Tier 3,false
birdsite.toot.si,suspend,false,false,Oliphant Tier 3,false
birdsite.vrparty.social,suspend,false,false,Oliphant Tier 3,false
birdsite.weiranzhang.com,suspend,false,false,Oliphant Tier 3,false
birdsite.wilde.cloud,suspend,false,false,Oliphant Tier 3,false
birdsitelive.baguette-it.social,suspend,false,false,Oliphant Tier 3,false
birdsitelive.bubbletea.dev,suspend,false,false,Oliphant Tier 3,false
birdsitelive.falschgold.net,suspend,false,false,Oliphant Tier 3,false
birdsitelive.loca.lt,suspend,false,false,Oliphant Tier 3,false
birdsitelive.moistgarbage.info,suspend,false,false,Oliphant Tier 3,false
birdsitelive.treffler.cloud,suspend,false,false,Oliphant Tier 3,false
bitacadie.com,suspend,false,false,Oliphant Tier 3,false
bitcoinhackers.org,suspend,false,false,Oliphant Tier 3,false
bitcoinlizard.net,suspend,false,false,Oliphant Tier 3,false
bitcointv.com,suspend,false,false,Oliphant Tier 3,false
bittube.video,suspend,false,false,Oliphant Tier 3,false
bka.li,suspend,false,false,Oliphant Tier 3,false
blackoutstout.space,suspend,false,false,Oliphant Tier 3,false
blackstar.cafe,suspend,false,false,Oliphant Tier 3,false
blacksun.social,suspend,false,false,Oliphant Tier 3,false
blazingopen.space,suspend,false,false,Oliphant Tier 3,false
blob.cat,suspend,false,false,Oliphant Tier 3,false
blockedur.mom,suspend,false,false,Oliphant Tier 3,false
boks.moe,suspend,false,false,Oliphant Tier 3,false
brands.town,suspend,false,false,Oliphant Tier 3,false
brapbarn.farm,suspend,false,false,Oliphant Tier 3,false
bridge.birb.space,suspend,false,false,Oliphant Tier 3,false
bridge.yopp.me,suspend,false,false,Oliphant Tier 3,false
bsd.moe,suspend,false,false,Oliphant Tier 3,false
bungle.online,suspend,false,false,Oliphant Tier 3,false
cachapa.moe,suspend,false,false,Oliphant Tier 3,false
cachapa.xyz,suspend,false,false,Oliphant Tier 3,false
carnal-gabhub.protohype.net,suspend,false,false,Oliphant Tier 3,false
carnivore.social,suspend,false,false,Oliphant Tier 3,false
catgirls.nya.gay,suspend,false,false,Oliphant Tier 3,false
cawfee.club,suspend,false,false,Oliphant Tier 3,false
chaurocks.com,suspend,false,false,Oliphant Tier 3,false
chitter,suspend,false,false,Oliphant Tier 3,false
chudbuds.lol,suspend,false,false,Oliphant Tier 3,false
ckpg.space,suspend,false,false,Oliphant Tier 3,false
club.darknight-coffee.eu,suspend,false,false,Oliphant Tier 3,false
cnet.site,suspend,false,false,Oliphant Tier 3,false
collapsitarian.io,suspend,false,false,Oliphant Tier 3,false
comfyboy.club,suspend,false,false,Oliphant Tier 3,false
contrapointsfan.club,suspend,false,false,Oliphant Tier 3,false
coom.club,suspend,false,false,Oliphant Tier 3,false
counter.fedi.live,suspend,false,false,Oliphant Tier 3,false
crypto-group-buy.com,suspend,false,false,Oliphant Tier 3,false
cum.desupost.soy,suspend,false,false,Oliphant Tier 3,false
cybercriminal.eu,suspend,false,false,Oliphant Tier 3,false
cyberfurz.social,suspend,false,false,Oliphant Tier 3,false
cyberstorm.one,suspend,false,false,Oliphant Tier 3,false
d-fens.systems,suspend,false,false,Oliphant Tier 3,false
daffodil-11.org,suspend,false,false,Oliphant Tier 3,false
daishouri.moe,suspend,false,false,Oliphant Tier 3,false
danksquad.org,suspend,false,false,Oliphant Tier 3,false
dariox,suspend,false,false,Oliphant Tier 3,false
darknight-coffee.org,suspend,false,false,Oliphant Tier 3,false
daspr.io,suspend,false,false,Oliphant Tier 3,false
decept.org,suspend,false,false,Oliphant Tier 3,false
definitely-not-archivefedifor.fun,suspend,false,false,Oliphant Tier 3,false
degenerates.fail,suspend,false,false,Oliphant Tier 3,false
desupost.soy,suspend,false,false,Oliphant Tier 3,false
